description,genre
"Chronicles the history, missions, and specialized equipment of the U.S. Army’s 10th Mountain Division in World War II. The formation of the U.S. Army's 10th Mountain Division was inspired by Finland’s success during the Soviet Union's invasion in 1939, where Finnish ski troops effectively used winter terrain to overcome Soviet armored divisions. Recognizing the strategic value of such a unit, Charles Minot “Minnie” Dole, founder of the National Ski Patrol, lobbied for a similar division in the U.S. Army. His efforts eventually led to the formation of specialized mountain warfare troops. In 1941, the War Department authorized the formation of experimental ski patrols, and by 1942, the 87th Mountain Infantry was created. Recruited primarily from skilled skiers, this unit was stationed at Camp Hale in Colorado. The 10th Light Division (Alpine) formed in 1943. Later renamed the 10th Mountain Division in 1944, it became a critical component of U.S. mountain and winter warfare capability. The division was involved in key operations, including the invasion of Kiska in the Aleutians and battles in Italy. Fully illustrated with over 200 photographs, the book catalogs the history of 10th Mountain Division unit and the equipment it used to undertake its unique mission, including skis, specialized winter clothing, and vehicles such as the M29 Weasel, designed for mountain and snow operations. The book also highlights the testing and deployment of various vehicles and artillery adapted for cold, mountainous environments, showcasing the division’s specialized role in the U.S. military in World War II.",History
"Everything you wanted to know about cloud computing, but were afraid to ask:What is cloud computingâ€¦ really?Whatâ€™s the least I need to know?How will it affect me?",Computers
"Learn how to apply test-driven development (TDD) to machine-learning algorithms—and catch mistakes that could sink your analysis. In this practical guide, author Matthew Kirk takes you through the principles of TDD and machine learning, and shows you how to apply TDD to several machine-learning algorithms, including Naive Bayesian classifiers and Neural Networks. Machine-learning algorithms often have tests baked in, but they can’t account for human errors in coding. Rather than blindly rely on machine-learning results as many researchers have, you can mitigate the risk of errors with TDD and write clean, stable machine-learning code. If you’re familiar with Ruby 2.1, you’re ready to start. Apply TDD to write and run tests before you start coding Learn the best uses and tradeoffs of eight machine learning algorithms Use real-world examples to test each algorithm through engaging, hands-on exercises Understand the similarities between TDD and the scientific method for validating solutions Be aware of the risks of machine learning, such as underfitting and overfitting data Explore techniques for improving your machine-learning models or data extraction",Computers
"This book constitutes the proceedings of the 41st SGAI International Conference on Innovative Techniques and Applications of Artificial Intelligence, AI 2021, which was supposed to be held in Cambridge, UK, in December 2021. The conference was held virtually due to the COVID-19 pandemic. The 22 full papers and 10 short papers presented in this volume were carefully reviewed and selected from 37 submissions. The volume includes technical papers presenting new and innovative developments in the field as well as application papers presenting innovative applications of AI techniques in a number of subject domains. The papers are organized in the following topical sections: technical paper; machine learning; AI techniques; short technical stream papers; application papers; applications of machine learning; AI for medicine; advances in applied AI; and short application stream papers.",Computers
"This 1999 book offers an original study of lyric form and social custom in the Elizabethan age. Ilona Bell explores the tendency of Elizabethan love poems not only to represent an amorous thought, but to conduct the courtship itself. Where studies have focused on courtiership, patronage and preferment at court, her focus is on love poetry, amorous courtship, and relations between Elizabethan men and women. The book examines the ways in which the tropes and rhetoric of love poetry were used to court Elizabethan women (not only at court and in the great houses, but in society at large) and how the women responded to being wooed, in prose, poetry and speech. Bringing together canonical male poets and women writers, Ilona Bell investigates a range of texts addressed to, written by, read, heard or transformed by Elizabethan women, and charts the beginnings of a female lyric tradition.",History
"The lives of a group of Romanian students under Communism, with its poverty, regimentation and depressing greyness. Life gets no better after graduation, so much so that several commit suicide.",Fiction
"Accessible and unbiased, Careers in Mental Health introduces upper-level high school students and beginning undergraduates to the different aspects of various mental health professions. Contains essential career advice for anyone considering an advanced degree in one of the “helping” professions within mental health Covers clinical psychology, counseling psychology, social work, counseling, marriage and family therapy, substance abuse counseling, and school psychology Clarifies the distinctions between professions by discussing the history and philosophy of each field, requirements for advanced education, licensing, available jobs, salary potential, and more Includes a section with practical information applicable to all the professions, such as characteristics for success, ethical issues, the importance of critical thinking, applying to graduate school, and current issues affecting the field of mental health",Psychology
"Health Organizations explores theories of organization and knowledge of organization behavior in ways that foster change in productive and sustainable ways resulting in better outcomes. Readers will learn systematic planned approaches for organization development and team building and by examining power, influence, conflict, motivation, and leadership in the context of health service delivery. Important Notice: The digital edition of this book is missing some of the images or content found in the physical edition.",Business
"“This is a perfect book.”—Roxane Gay, New York Times bestselling author of Not That Bad From the New York Times bestselling author J. Ryan Stradal, a story of a couple from two very different restaurant families in rustic Minnesota, and the legacy of love and tragedy, of hardship and hope, that unites and divides them Mariel Prager needs a break. Her husband, Ned, is having an identity crisis; her spunky, beloved restaurant is bleeding money by the day; and her mother, Florence, is stubbornly refusing to leave the church where she’s been holed up for more than a week. The Lakeside Supper Club has been in Mariel’s family for decades, but it also caused a rift between mother and daughter that never quite healed. Ned is also an heir—to a chain of home-style diners—and he knows his family's chain could provide a better future than his wife's fading restaurant. In the aftermath of a devastating tragedy, Ned and Mariel lose almost everything they hold dear. Can they find a way to rebuild their lives, and will the Lakeside Supper Club be their salvation? In this vanishing world of relish trays and brandy old-fashioneds, New York Times bestselling author J. Ryan Stradal has given us a story full of his signature winning, honest yet fallible Midwestern characters as they grapple with love and tragedy, hardship and hope—and what their legacy will be when they are gone.",Fiction
"The very first novel by the phenomenal #1 New York Times bestselling author Nora Roberts,Irish Thoroughbred is the story of a young immigrant, a racehorse breeder, and a romance that could only happen in America--now in a beautiful new hardcover edition. There’s nothing left for Adelia Cunnane in Ireland. The aunt she cared for has passed, and the family farm has been sold for taxes. But her uncle Paddy has written her: Come to America... The Maryland horse farm where Paddy lives and works is more than Dee dared to dream about. She has always had a magical touch with animals, and her she finds employment in the stables—and a chance to fly, on the muscular back of Travis Grant’s chestnut Thoroughbred. It’s easy to put aside a passing pang of homesickness when she can spend her first paycheck—which feels like a veritable fortune—on the feminine frivolities that were never a part of her life in the old country. But the most unfamiliar territory of all is her relationship with her boss, the man who has made all this possible. Spirited but innocent, Dee is disconcerted by the way he treats her—and the way she responds. America may be the land of opportunity, a place where even those from the humblest background can pursue what they want—and, perhaps, even find themselves one day attending the Kentucky Derby. But some divides may be too wide to cross, and Dee fears that demanding more could cost her all that she’s already gained...",Fiction
"With this practical book, AI and machine learning practitioners will learn how to successfully build and deploy data science projects on Amazon Web Services. The Amazon AI and machine learning stack unifies data science, data engineering, and application development to help level up your skills. This guide shows you how to build and run pipelines in the cloud, then integrate the results into applications in minutes instead of days. Throughout the book, authors Chris Fregly and Antje Barth demonstrate how to reduce cost and improve performance. Apply the Amazon AI and ML stack to real-world use cases for natural language processing, computer vision, fraud detection, conversational devices, and more Use automated machine learning to implement a specific subset of use cases with SageMaker Autopilot Dive deep into the complete model development lifecycle for a BERT-based NLP use case including data ingestion, analysis, model training, and deployment Tie everything together into a repeatable machine learning operations pipeline Explore real-time ML, anomaly detection, and streaming analytics on data streams with Amazon Kinesis and Managed Streaming for Apache Kafka Learn security best practices for data science projects and workflows including identity and access management, authentication, authorization, and more",Computers
"Learn about Azure DevOps services to successfully apply DevOps strategies Ê KEY FEATURESÊÊ _ Share knowledge on DevOps implementation and use of Azure DevOps services. _ Learn about Azure artifacts, dependency management, and CI/CD pipeline management. _ Manage third-party integration, Agile planning, and application lifecycle management. DESCRIPTIONÊ This book offers readers the best DevOps practices and explains how to implement various services of Azure DevOps to ensure efficiency, effectiveness, and better management of the entire software development lifecycle. This book explains each component of Azure DevOps services, their pricing models, and a quick tutorial on how to proceed with its usage. Backed with numerous examples, this book helps you implement Agile planning using Azure Boards, maintain code versioning using Azure Repos, and manage CI/CD using Azure Pipelines. You will learn how to administer the DevOps process such as managing packages using the most popular Azure Artifacts and how to run Test Plans using Azure Test Plans. You will also learn how to integrate with third-party systems. Finally, you will learn about marketplaces of extensions and how to develop your own extensions. WHAT YOU WILL LEARN _ Learn DevOps culture, practices, and habits. _ Learn to manage version control of the source code within Azure DevOps Services. _ Learn how to administer Azure DevOps services for an enterprise application lifecycle management system. _ Learn Azure DevOps services and features. WHO THIS BOOK IS FORÊÊ This book is for anyone who wishes to use or who are using Azure DevOps services, including Infrastructure engineers, Software engineers, Architects, Testers, Managers, or Product Owners. Ê TABLE OF CONTENTS 1. Introduction to Azure DevOps 2. Azure DevOps Organization 3. Azure DevOps Project 4. Azure Board 5. Azure Repos 6. Azure Pipelines 7. Azure Artifacts 8. Azure Test Plans 9. Extension Marketplace",Computers
"In the second book in her Three Sisters Island Trilogy, #1 New York Times bestselling author Nora Roberts returns to the haunting shores of New England—and to the lives of three passionate, powerful women… Ripley Todd's job as a sheriff’s deputy keeps her busy and happy, and she has no trouble finding men when she wants them—which, lately, isn’t all that often. She’s perfectly content, except for one thing: she has special powers that both frighten and confuse her. Distraction soon arrives in the handsome form of MacAllister Booke—a researcher who’s come to investigate the rumors of witchcraft that haunt Three Sisters Island. Right from the start, he knows there’s something extraordinary about Ripley Todd. Fascinated by her struggle with her amazing abilities, he becomes determined to help her accept who she is—and find the courage to open her heart. But before Ripley and Mac can dream of what lies in the future, they must confront the pain of the past. For Three Sisters shelters centuries of secrets—and a legacy of danger that plagues them still… Don't miss the other books in the Three Sisters Island Trilogy Dance Upon the Air Face the Fire",Fiction
"Covers momentous events in the last month of World War II, from July 15 to August 15, 1945, interwoven with personal experiences.",History
"This latest textbook from bestselling author, Douglas E. Comer, is a class-tested book providing a comprehensive introduction to cloud computing. Focusing on concepts and principles, rather than commercial offerings by cloud providers and vendors, The Cloud Computing Book: The Future of Computing Explained gives readers a complete picture of the advantages and growth of cloud computing, cloud infrastructure, virtualization, automation and orchestration, and cloud-native software design. The book explains real and virtual data center facilities, including computation (e.g., servers, hypervisors, Virtual Machines, and containers), networks (e.g., leaf-spine architecture, VLANs, and VxLAN), and storage mechanisms (e.g., SAN, NAS, and object storage). Chapters on automation and orchestration cover the conceptual organization of systems that automate software deployment and scaling. Chapters on cloud-native software cover parallelism, microservices, MapReduce, controller-based designs, and serverless computing. Although it focuses on concepts and principles, the book uses popular technologies in examples, including Docker containers and Kubernetes. Final chapters explain security in a cloud environment and the use of models to help control the complexity involved in designing software for the cloud. The text is suitable for a one-semester course for software engineers who want to understand cloud, and for IT managers moving an organization’s computing to the cloud.",Computers
"The final installment of The Mafia Academy Series- A dark enemies to lovers romance set at a mafia boarding school for the sons and daughters of the most powerful mafia lords. Polina Aminoff At the Sicuro Academy, the Russians and the Italians give each other a wide berth. We’re bitter enemies after all. So imagine my disbelief when my brother announces that I’m to wed Dante Accardi, next in line to run the Accardi Italian crime family. After the shock subsides, I’m determined to save myself. It’s not until my plan is in full swing that I realize there might be more to Dante than I thought. But those closest to me, those who were supposed to protect me have always hurt me. Now I must decide whether to trust him with my heart or if he’ll just be another person in my life who brings me to my knees. Dante Accardi Polina Aminoff is a Bratva brat and an ice princess that I don’t think even an easy-going guy like me can thaw. And I’ve never had an issue melting the panties off a woman before. I’m just as unhappy about our engagement as she is, but my father made it clear—it is my duty to the family. Once we’re forced together, another side of Polina shines and I start to think we could have a future together that doesn’t involve being bitter rivals. But she’s hiding something, I just don’t know what. Which leaves me wondering, can I ever really trust my enemy?",Fiction
"Go beyond the obvious and explore the secrets behind ASP.NET with this comprehensive guide. Leading authorities in the field expose the hidden functionality within the ASP.NET model, revealing everything from Web controls and screen scraping to configuration and versioning techniques. These expert tips and tricks will help you gain the skills you need to quickly develop your own practical ASP.NET applications. The Insider's Guide to: * Uploading Multiple Files from a Single Page (see Chapter 5) * Double-Checking Client-Side Validation (see Chapter 9) * Nesting User Controls (see Chapter 10) * Using the Code-Behind Model with Notepad (see Chapter 12) * Supporting Specific .NET Framework Versions (see Chapter 13) * Debugging a SQL Server Stored Procedure from Visual Studio .NET (see Chapter 14) * Streaming Attachments (see Chapter 18) * Screen Scraping Using WSDL Documents and Proxy Classes (see Chapter 30) * Integrating Mobile Emulators with Visual Studio .NET (see Chapter 33)",Computers
"Don't miss the #1 New York Times bestselling thriller from the world's bestselling author, James Patterson: an ""undeniably gripping ride through the hidden passageways of power and politics"" that ""moves like Air Force One"" (Michael Connelly). The President Is Missing confronts a threat so huge that it jeopardizes not just Pennsylvania Avenue and Wall Street, but all of America. Uncertainty and fear grip the nation. There are whispers of cyberterror and espionage and a traitor in the Cabinet. Even the President himself becomes a suspect, and then he disappears from public view . . . Set over the course of three days, The President Is Missing sheds a stunning light upon the inner workings and vulnerabilities of our nation. Filled with information that only a former commander in chief could know, this is the most authentic, terrifying novel to come along in many years. #1 New York Times bestseller#1 USA Today bestseller#1 Wall Street Journal bestseller#1 Indie bestseller ""President Duncan for a second term!"" -- USA Today""This book's a big one."" -- New York Times""Towers above most political thrillers."" -- Pittsburgh Post-Gazette""The plotting is immaculate . . . the writing is taut."" -- Sunday Times (London)""Ambitious and wildly readable."" -- New York Times Book Review",Fiction
"This edition includes 337 more entries, bringing the total to over 1,400 thumbnail sketches of economists who have contributed to the literature over the past three centuries.",Biography
"An entertaining and informative journey through the history of western philosophy from Aristotle to Bertrand Russell. It features both great ideas and the men and women behind them. Whether discussing Plato's Republic or Descartes 'Cogito Ergo Sum', Jane O'Grady brings to life the ideas that have shaped our world and explains them in a lively, accessible fashion. This illustrated guide is an excellent starting point for everyone interested in philosophy.",Education
"The manner in which a man has lived is often the key to the way he will die. Take old man Donegal, for example. Most of his adult life was spent in digging a hole through space to learn what was on the other side. He had to be fated, didn't he, to go out the same way?",Fiction
"The period covered by this book witnessed a significant change in Allied strategy for the Middle East. Its focus switched from Egypt to the states of the so-called northern tier of the Middle East: Turkey, Iraq, Iran and Pakistan. This book reveals the extent to which the UK clung on to great-power pretensions and used bluff, even deception, in order to give the impression that it disposed of greater military resources than was in fact the case. It describes not only Anglo-American tensions in the Middle East, but also the Americans' reluctance to take over Britain's former hegemony in the region. Finally, it reveals the extent to which the Allies' relationship with Israel was a constant restraint upon their freedom of action in the area, and their ability to forge military alliances with Arab states.",History
"#1 NEW YORK TIMES BESTSELLER • A surprising and moving novel of fathers and sons, forgiveness and redemption, set in the world of Major League Baseball… “Grisham knocks it out of the park.”—The Washington Post It’s the summer of 1973, and Joe Castle is the boy wonder of baseball, the greatest rookie anyone has ever seen. The kid from Calico Rock, Arkansas, dazzles Chicago Cubs fans as he hits home run after home run, politely tipping his hat to the crowd as he shatters all rookie records. Calico Joe quickly becomes the idol of every baseball fan in America, including Paul Tracey, the young son of a hard-partying and hard-throwing New York Mets pitcher. On the day that Warren Tracey finally faces Calico Joe, Paul is in the stands, rooting for his idol but also for his dad. Then Warren throws a fastball that will change their lives forever. Don’t miss John Grisham’s new book, THE EXCHANGE: AFTER THE FIRM!",Fiction
"A stand-alone compendium for exploring moving between different careers. No matter what you do now or where you are in your education, you *always* have many career options. Use this manual to quickly and easily learn career moves other people have made.This printable, searchable PDF lists over 16000 moves to and from particular occupations showing you key information about education and wages. Includes links to profiles. Sources: Bureau of Labor Statistics, US Department of Labor.",Education
"This book presents the state of the art of type 2 diabetes genetics, from the process of genetic discovery to its interpretation and clinical application, and illustrates a model for other complex human phenotypes.The first section explores genome-wide association studies, the extension of this method to less accessible phenotypes and the arrival of next-generation sequencing. A further section goes beyond genetics to illustrate how other data sources can help interpret genetic data, such as leveraging population diversity, the correlation of genetic associations with physiological measurements, gene expression modulation, environmental factors and our microbial commensals. The third section describes advances in elucidating the complex path from association to function using in-depth sequencing and functional studies of the cellular and molecular effects of genes in the loci identified by genetics. The final section links our current understanding with clinically relevant questions, such as prediction, interactions with drugs or nutrients, and disease prevention, and paints a realistic but hopeful vision of the future. ​",Medical
"Provides information and examples on writing JavaScript code, covering such topics as syntax, control, data, regular expressions, and scripting.",Computers
"From focaccias to pan pizza and the deep-dish delight of Chicago-style, Pizza: The Ultimate Cookbook will capture your taste buds and your imagination. This comprehensive guide on the fundamentals of Pizza making includes hundreds of recipes that will enhance your culinary skills and leave your mouth watering as well as historical knowledge and professional interviews. Did you know that a person who makes pizza is known as a pizzaiolo? Pizza has a delicious history that travels back to Southern Italy, to at least the 10th century, where the term was first recorded. Since then, pizzaiolos developed unique flavors throughout time until pizza has become the staple we know today. This is the definitive guide to pizzas and flatbreads worldwide and features: More than 300 delicious recipes made for every palate Over 800 pages, this is the perfect gift for the pizza lover in your life Profiles and interviews with world-famous pizza makers will have you craving a slice Delectable recipes will help satiate your cravings and awaken your taste buds to flavor combinations you've never tried before: BBQ Chicken Pizza, Teriyaki Salmon Pizza, Pizza with Squid Ink & Seafood, and more Gorgeous, full-color photography brings each slice to life in front of you long before you roll out the dough. The Ultimate Cookbook series: Provides a comprehensive guide to all things food – from ingredient specific to ethnic cuisine to historical facts and information Inspires your culinary art skills with beautiful images and easy to follow instructions Perfect for the chefs, home cooks, or foodies in your life Makes a great holiday gift for friends, family, or loved ones Sharpen your skills and feed your appetite with additional cookbooks in the series.",Cooking
"... Beginning with the sixth edition a number of diagrams have been included. These are intended to render the discussions to which the figures relate more intelligible to the reader who is not acquainted with the natural sciences which contribute to psychology""--Preface. (PsycINFO Database Record (c) 2010 APA, all rights reserved).",Psychology
This contemporary Kitchen Classic focuses on Gourmet Vegetarian recipes which is an impressive addition to this beautifully styled series,Cooking
"Describes the techniques for making pasta and provides regional and traditional recipes for antipaste, vegetables, salads, desserts and fruits, and first, second, and cheese courses",Cooking
"Welcome to the Griffin Sanctuary and follow Charlotte as she works with endangered mythical creatures. The Griffin Sanctuary Volume 1 includes: - The Unicorn Herd: As a new keeper intern, Charlotte gets to tend to her favourite animals, the mythical Silver Blush Unicorns. - The Phoenix Nest: After transferring to a vet apprenticeship, Charlotte encounters her first challenge and has to help a pair of phoenixes who won't get on and their single egg. - The Kitsune Giggle: A lonely kitsune requires Charlotte's help, and she's determined to find a friend for the creatures. The Griffin Sanctuary is an urban fantasy series featuring a trainee vet, mythical creatures, and a slow burn sapphic romantic subplot.",Fiction
"Phenomenal #1 New York Times bestselling author Nora Roberts presents a spine-tingling novel about a female cop who walks fearlessly into danger—but must draw on her courage to let love into her life. Police Lieutenant Phoebe MacNamara found her calling at an early age when a violently unstable man broke into her family’s home, trapping and terrorizing them for hours. Now she’s Savannah’s top hostage negotiator, who puts her life on the line every day to diffuse powder-keg situations. After watching her talk one of his employees off a roof ledge, Duncan Swift is committed to keeping this intriguing, take-charge woman in his life. Phoebe’s used to working solo, but she’s finding that no amount of negotiation can keep Duncan at arm’s length. Especially when a man throws a hood over Phoebe’s head and brutally assaults her—in her own precinct house—and threatening messages begin appearing on her doorstep. Duncan backs her up every step of the way, as she establishes contact with the faceless tormentor who is determined to make her a hostage to fear—before she becomes the final showdown.",Fiction
"High risk, high reward: a $5 million heist is the perfect job for Ned Kelly. But when it all goes horribly wrong, he discovers a world of secrets and sabotage. Working as a lifeguard at a luxurious Florida resort, Ned Kelly meets the woman of his dreams. It feels perfect in every way-except that she's used to caviar and Manolo Blahniks, and he's used to burgers and flip-flops. So when Ned's cousin offers to cut him in on a fast break-and-enter job, he can't turn it down. The risk is high, and the reward is even greater-$5 million. But the robbery goes devastatingly wrong. Forced to run away from his town and the woman he's fallen in love with, Ned knows that only distance and secrecy can save his life. But who is pursuing him? The FBI? Whoever sabotaged the heist? Or is it all somehow tied in to his new love-and his oldest enemies? Discover a vivid and nail-biting crime thriller from ""one of America's most influential authors"" (New York Times). You won't be able to put it down.",Fiction
See:,Computers
"Learn how to make mobile native app development easier. If your team frequently works with both iOS and Android—or plans to transition from one to the other—this hands-on guide shows you how to perform the most common development tasks in each platform. Want to learn how to make network connections in iOS? Or how to work with a database in Android? This book has you covered. In the book’s first part, authors Shaun Lewis and Mike Dunn from O’Reilly’s mobile engineering group provide a list of common, platform-agnostic tasks. The second part helps you create a bare-bones app in each platform, using the techniques from part one. Common file and database operations Network communication with remote APIs Application lifecycle Custom views and components Threading and asynchronous work Unit and integration tests Configuring, building, and running an app on a device",Computers
"A gripping high-stakes thriller featuring forensic anthropologist Temperance Brennan, from Number One Bestselling author Kathy Reichs. EVEN ON AN ISLAND PARADISE, DANGER STILL LURKS Called in to examine what is left of a body struck by lightning, Tempe traces an unusual tattoo to its source and is soon embroiled in a much larger case. Young men – tourists – have been disappearing on the islands of Turks and Caicos for years. Seven years ago, the first victim was found with both hands cut off; the other visitors vanished without a trace. But recently, tantalizing leads have emerged and only Tempe can unravel them. Maddeningly, the victims seem to have nothing in common – other than the unusual locations where their bodies are eventually found, and the fact that the young men all seem to be the least likely to be involved in foul play. Do these attacks have something to do with the islands’ seething culture of gang violence? Tempe isn’t so sure. And then she turns up disturbing clues that what’s at stake may actually have global significance. It isn’t long before the sound of a ticking clock grows menacingly loud, and then Tempe herself becomes a target . . . PRAISE FOR KATHY REICHS: ‘A thing of clever beauty – smart, scary, complicated, and engrossing’ Michael Connelly ‘This page-turning series never lets the reader down’ Harlan Coben ‘One of my favorite writers’ Karin Slaughter ‘I await the next Kathy Reichs thriller with the same anticipation I have for the new Lee Child or Patricia Cornwell’ James Patterson",Fiction
"ENABLING HEALTHCARE 4.0 for PANDEMICS The book explores the role and scope of AI, machine learning and other current technologies to handle pandemics. In this timely book, the editors explore the current state of practice in Healthcare 4.0 and provide a roadmap for harnessing artificial intelligence, machine learning, and Internet of Things, as well as other modern cognitive technologies, to aid in dealing with the various aspects of an emergency pandemic outbreak. There is a need to improvise healthcare systems with the intervention of modern computing and data management platforms to increase the reliability of human processes and life expectancy. There is an urgent need to come up with smart IoT-based systems which can aid in the detection, prevention and cure of these pandemics with more precision. There are a lot of challenges to overcome but this book proposes a new approach to organize the technological warfare for tackling future pandemics. In this book, the reader will find: State-of-the-art technological advancements in pandemic management; AI and ML-based identification and forecasting of pandemic spread; Smart IoT-based ecosystem for pandemic scenario. Audience The book will be used by researchers and practitioners in computer science, artificial intelligence, bioinformatics, data scientists, biomedical statisticians, as well as industry professionals in disaster and pandemic management.",Computers
"Data Science for Effective Healthcare Systems has a prime focus on the importance of data science in the healthcare domain. Various applications of data science in the health care domain have been studied to find possible solutions. In this period of COVID-19 pandemic data science and allied areas plays a vital role to deal with various aspect of health care. Image processing, detection & prevention from COVID-19 virus, drug discovery, early prediction, and prevention of diseases are some thrust areas where data science has proven to be indispensable. Key Features: The book offers comprehensive coverage of the most essential topics, including: Big Data Analytics, Applications & Challenges in Healthcare Descriptive, Predictive and Prescriptive Analytics in Healthcare Artificial Intelligence, Machine Learning, Deep Learning and IoT in Healthcare Data Science in Covid-19, Diabetes, Coronary Heart Diseases, Breast Cancer, Brain Tumor The aim of this book is also to provide the future scope of these technologies in the health care domain. Last but not the least, this book will surely benefit research scholar, persons associated with healthcare, faculty, research organizations, and students to get insights into these emerging technologies in the healthcare domain.",Computers
"NATIONAL BESTSELLER • From the bestselling author of The Handmaid's Tale and The Testaments—the second book of the internationally celebrated MaddAddam trilogy, set in the visionary world of Oryx and Crake, is at once a moving tale of lasting friendship and a landmark work of speculative fiction. The long-feared waterless flood has occurred, altering Earth as we know it and obliterating most human life. Among the survivors are Ren, a young trapeze dancer locked inside the high-end sex club Scales and Tails, and Toby, who is barricaded inside a luxurious spa. Amid shadowy, corrupt ruling powers and new, gene-spliced life forms, Ren and Toby will have to decide on their next move, but they can't stay locked away.",Fiction
"Your best friend . . . or a vicious killer? You won't know until it's too late in this Women's Murder Club novel from the world's #1 bestselling author. Lindsay Boxer is pregnant at last! But her work doesn't slow for a second. When millionaire Chaz Smith is mercilessly gunned down, she discovers that the murder weapon is linked to the deaths of four of San Francisco's most untouchable criminals. And it was taken from her own department's evidence locker. Anyone could be the killer—even her closest friends. Facing a series of vicious articles about her personal life and a brutal crime scene in a famous actor's garden, Lindsay realizes that the ground beneath her feet holds hundreds of secrets. But this time she has no one to turn to—especially not her husband Joe. From one of the world's finest suspense writers, 11th Hour is a shocking emotional thrill.",Fiction
"One of the Must-Read Books of 2019 According to O: The Oprah Magazine * Time * Bustle * Electric Literature * Publishers Weekly * The Millions * The Week * Good Housekeeping “There is more life packed on each page of Ordinary Girls than some lives hold in a lifetime.” —Julia Alvarez In this searing memoir, Jaquira Díaz writes fiercely and eloquently of her challenging girlhood and triumphant coming of age. While growing up in housing projects in Puerto Rico and Miami Beach, Díaz found herself caught between extremes. As her family split apart and her mother battled schizophrenia, she was supported by the love of her friends. As she longed for a family and home, her life was upended by violence. As she celebrated her Puerto Rican culture, she couldn’t find support for her burgeoning sexual identity. From her own struggles with depression and sexual assault to Puerto Rico’s history of colonialism, every page of Ordinary Girls vibrates with music and lyricism. Díaz writes with raw and refreshing honesty, triumphantly mapping a way out of despair toward love and hope to become her version of the girl she always wanted to be. Reminiscent of Tara Westover’s Educated, Kiese Laymon’s Heavy, Mary Karr’s The Liars’ Club, and Terese Marie Mailhot’s Heart Berries, Jaquira Díaz’s memoir provides a vivid portrait of a life lived in (and beyond) the borders of Puerto Rico and its complicated history—and reads as electrically as a novel.",Biography
"With the rise of DevOps, low-cost cloud computing, and container technologies, the way Java developers approach development today has changed dramatically. This practical guide helps you take advantage of microservices, serverless, and cloud native technologies using the latest DevOps techniques to simplify your build process and create hyperproductive teams. Stephen Chin, Melissa McKay, Ixchel Ruiz, and Baruch Sadogursky from JFrog help you evaluate an array of options. The list includes source control with Git, build declaration with Maven and Gradle, CI/CD with CircleCI, package management with Artifactory, containerization with Docker and Kubernetes, and much more. Whether you're building applications with Jakarta EE, Spring Boot, Dropwizard, MicroProfile, Micronaut, or Quarkus, this comprehensive guide has you covered. Explore software lifecycle best practices Use DevSecOps methodologies to facilitate software development and delivery Understand the business value of DevSecOps best practices Manage and secure software dependencies Develop and deploy applications using containers and cloud native technologies Manage and administrate source control repositories and development processes Use automation to set up and administer build pipelines Identify common deployment patterns and antipatterns Maintain and monitor software after deployment",Computers
"Over the past decade there has been a monumental shift taking place in the way that people buy. There have been numerous books written about this change from a business and marketing perspective and finally we have one that addresses sales. The way we sell has been forever transformed by the way people buy. The idea that selling has changed is not new - what is new are the approaches, techniques and overall philosophy described in sales shift. Frank Belzer draws on his years helping marketers and sales people work together and shares these skills and insights. What do buyers no longer need from sales people? What do all buyers want from sales people? How can sales people help without being pushy? Why should a sales strategy harmonize with an inbound marketing strategy and how do you do that? Frank has been sharing these thoughts at conferences, as part of his trainings and workshops and now the best of these suggestions are compiled in Sales Shift. If your company is looking to stay ahead and compete in this new world of selling - this is a great read and a must have for any business Library. Great tips and Great questions, well answered in Sales Shift.",Business
"With an afterword by E. L. Doctorow—the Pulitzer Prize-winning novel of one man’s pursuit of intellectual freedom in the face of ignorance and corruption, from the author of Babbit Arrowsmith, the most widely read of Sinclair Lewis’s novels, is the incisive portrait of a man passionately devoted to science. As a bright, curious boy in a small Midwestern town, Martin Arrowsmith spends his free time in old Doc Vickerson’s office avidly devouring medical texts. Destined to become a physician and a researcher, he discovers that societal forces of ignorance, greed, and corruption can be as life-threatening as the plague. Part satire, part morality tale, Lewis’s Pulitzer Prize-winning novel illuminates the mystery and power of science while giving enduring life to a singular American hero’s struggle for integrity and intellectual freedom in a small-minded world. With an Introduction by Sally E. Parry and an Afterword by E. L. Doctorow",Fiction
"Watch Your Money Grow! In today’s complicated financial jungle, the possibilities for turning capital into fortunes are endless. Investing Made Simple is the perfect guide for helping the would-be investor gain the knowledge and confidence essential for long term wealth building. Topics include: Stocks Bonds Real estate Futures Derivatives IPOs and second offerings Insurance international perspectives Shopping for bargains Diversification Stock charts All terms are thoroughly explained, and the pros and cons of each route, as well as how to get started, are outlined. From helping you understand your investment goals to managing your portfolio, Investing Made Simple is the complete consumer guide to understating and finding investment opportunities that work for you. Look for other Made Simple Books Accounting Made Simple Arithmetic Made Simple Biology Made Simple Bookkeeping Made Simple Business Letters Made Simple Chemistry Made Simple English Made Simple French Made Simple German Made Simple Ingles Hecho Facil Investing Made Simple Italian Made Simple Learning English Made Simple Mathematics Made Simple The Perfect Business Plan Made Simple Philosophy Made Simple Physics Made Simple Psychology Made Simple Sign Language Made Simple Spanish Made Simple Spelling Made Simple Statistics Made Simple Touch Typing Made Simple Your Small Business Made Simple www.broadwaybooks.com",Business
